,index,Product,High,Low,Last,Avg,Volume,date,day,month,year,hour,time,datetime,weekday,days_for_aggregation,price(EUR/KWh)
0,0,PH-20190107-24(X),"21,00","13,10","21,00",17.05,"404,60",2019-01-07 00:00:00,7,1,2019,0,00:00:00,2019-01-07 00:00:00,0,0,0.01705
1,986,PH-20190107-24(X),"21,00","13,10","21,00",17.05,"404,60",2019-01-07 00:00:00,7,1,2019,1,01:00:00,2019-01-07 01:00:00,0,0,0.01705
2,1,PH-20190107-02(X),"50,09","48,80","50,09",49.84,"48,00",2019-01-07 00:00:00,7,1,2019,2,02:00:00,2019-01-07 02:00:00,0,0,0.04984
3,2,PH-20190107-03(X),"46,00","43,99","43,99",44.84,"23,40",2019-01-07 00:00:00,7,1,2019,3,03:00:00,2019-01-07 03:00:00,0,0,0.044840000000000005
4,3,PH-20190107-04(X),"46,39","41,61","41,61",44.1,"66,70",2019-01-07 00:00:00,7,1,2019,4,04:00:00,2019-01-07 04:00:00,0,0,0.0441
5,4,PH-20190107-05(X),"49,99","42,80","49,99",48.47,"85,90",2019-01-07 00:00:00,7,1,2019,5,05:00:00,2019-01-07 05:00:00,0,0,0.04847
6,5,PH-20190107-06(X),"51,99","48,49","51,99",50.24,"50,00",2019-01-07 00:00:00,7,1,2019,6,06:00:00,2019-01-07 06:00:00,0,0,0.05024
7,6,PH-20190107-07(X),"56,00","53,90","56,00",55.96,"20,60",2019-01-07 00:00:00,7,1,2019,7,07:00:00,2019-01-07 07:00:00,0,0,0.05596
8,7,PH-20190107-08(X),"72,04","70,00","70,00",71.72,"44,20",2019-01-07 00:00:00,7,1,2019,8,08:00:00,2019-01-07 08:00:00,0,0,0.07171999999999999
9,8,PH-20190107-09(X),"74,49","67,99","67,99",72.11,"52,20",2019-01-07 00:00:00,7,1,2019,9,09:00:00,2019-01-07 09:00:00,0,0,0.07211
10,9,PH-20190107-10(X),"73,99","68,16","72,89",72.53,"45,50",2019-01-07 00:00:00,7,1,2019,10,10:00:00,2019-01-07 10:00:00,0,0,0.07253
11,10,PH-20190107-11(X),"70,99","67,48","70,99",70.87,"15,50",2019-01-07 00:00:00,7,1,2019,11,11:00:00,2019-01-07 11:00:00,0,0,0.07087
12,11,PH-20190107-12(X),"70,75","65,28","69,76",67.4,"23,50",2019-01-07 00:00:00,7,1,2019,12,12:00:00,2019-01-07 12:00:00,0,0,0.0674
13,12,PH-20190107-13(X),"67,71","62,70","62,70",66.23,"22,60",2019-01-07 00:00:00,7,1,2019,13,13:00:00,2019-01-07 13:00:00,0,0,0.06623
14,13,PH-20190107-14(X),"67,20","67,20","67,20",67.2,"9,00",2019-01-07 00:00:00,7,1,2019,14,14:00:00,2019-01-07 14:00:00,0,0,0.06720000000000001
15,14,PH-20190107-15(X),"66,90","63,30","66,20",65.33,"107,40",2019-01-07 00:00:00,7,1,2019,15,15:00:00,2019-01-07 15:00:00,0,0,0.06533
